start_date,license_code,owner,license_type,status,minerals,region_of_operation,district_of_operation,start_year,start_month,start_day
2025-11-12,SSML-T2 18/2025,Docklands Company Limited,Small Scale Licence,Active License,Gold,Western Region,Nzema East,2025,11,12
2025-11-12,SSML-T2 19/2025,Docklands Company Limited,Small Scale Licence,Active License,Gold,Western Region,Sekondi Takoradi,2025,11,12
2025-11-12,SSML-T2 21/2025,Docklands Company Limited,Small Scale Licence,Active License,Gold,Western Region,Sekondi Takoradi,2025,11,12
2025-11-12,SSML-T2 20/2025,Docklands Company Limited,Small Scale Licence,Active License,Gold,Western Region,Sekondi Takoradi,2025,11,12
2025-11-12,SSML-T2 17/2025,Docklands Company Limited,Small Scale Licence,Active License,Gold,Western Region,Mpohor,2025,11,12
2025-10-03,SSMP-NIM-3/1858,Brakatu Investments & Commercial Farms Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1856,Eknka Enterprise Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1859,Eknka Enterprise Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1857,Brakatu Investments & Commercial Farms Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1861,Brakatu Investments & Commercial Farms Limited,Small Scale Licence,Active License,Gold,Central Region,Cape Coast,2025,10,3
2025-10-03,SSMP-NIM-3/1860,Eknka Enterprise Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1862,Brakatu Investments & Commercial Farms Limited,Small Scale Licence,Active License,Gold,Central Region,Cape Coast,2025,10,3
2025-10-03,SSMP-NIM-3/1855,Eknka Enterprise Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1854,Eknka Enterprise Limited,Small Scale Licence,Active License,Gold,Central Region,,2025,10,3
2025-10-03,SSMP-NIM-3/1863,Brakatu Investments & Commercial Farms Limited,Small Scale Licence,Active License,Gold,Central Region,Cape Coast,2025,10,3
2025-08-29,RL2/103,Dpeps Company Limited,Prospecting Licence,Active License,Gold,Western Region,Sekondi Takoradi,2025,8,29
2025-08-14,RL2/205 (Mpataba),Sec Southwest Mining Ltd,Prospecting Licence,Active License,Gold,Western Region,Jomoro,2025,8,14
2025-07-28,SSML-AK5 2/2025,Shepherd Mining,Small Scale Licence,Active License,Gold,,,2025,7,28
2025-07-21,SSMP-NIM-3/1853,Jaypris Mining Enterprise,Small Scale Licence,Active License,Gold,Central Region,Cape Coast,2025,7,21
2025-07-14,MC 5548/2025,Abuya And Sons Company Limited,Support Service,Active License,"Civil works /engineering services, Rentals",Greater Accra Region,,2025,7,14
2025-06-24,MC 5551/2025,Grinding Media Ghana Limited,Support Service,Active License,"Supply Mining equipment, Mine Consumables (grinding media, activated carbon, caustic soda), Manufacture and supply steel products including grinding media, Mining Support Services",,,2025,6,24
2025-06-20,MC 5558/2025,Sdg Dream Limited Company,Support Service,Active License,"Drilling and exploration service, Civil works /engineering services, Civil construction",Western Region,,2025,6,20
2025-06-03,MC 5544/2025,Act Ict Ghana Limited,Support Service,Active License,Technical Services,Greater Accra Region,,2025,6,3
2025-05-22,MC 5549/2025,Pesi Engineering Services International Ltd,Support Service,Active License,"Contract drilling services, Environmental Services, Aerial survey, Provide geotechnical and geophysical site investigation services",Bono East Region,,2025,5,22
2025-05-22,MC 5549/2025,Pesi Engineering Services International Ltd,Support Service,Active License,"Contract drilling services, Environmental Services, Aerial survey, Provide geotechnical and geophysical site investigation services",Ashanti Region,,2025,5,22
2025-05-22,MC 5549/2025,Pesi Engineering Services International Ltd,Support Service,Active License,"Contract drilling services, Environmental Services, Aerial survey, Provide geotechnical and geophysical site investigation services",Bono Region,,2025,5,22
2025-05-22,MC 5549/2025,Pesi Engineering Services International Ltd,Support Service,Active License,"Contract drilling services, Environmental Services, Aerial survey, Provide geotechnical and geophysical site investigation services",Ahafo Region,,2025,5,22
2025-05-22,MC 5549/2025,Pesi Engineering Services International Ltd,Support Service,Active License,"Contract drilling services, Environmental Services, Aerial survey, Provide geotechnical and geophysical site investigation services",Brong Ahafo Region,,2025,5,22
2025-05-21,MC 5550/2025,Global Consolidated Mining Ltd,Support Service,Active License,"Equipment Supply, Civil works /engineering services, Supply mining consumables and provide mining optimization services",,,2025,5,21
2025-02-25,MC 5410/2025,Dwabrensua Company Limited,Support Service,Active License,Laundry Services,Ashanti Region,,2025,2,25
2025-02-21,MC 5398/2025,Asp Consortium Ltd,Support Service,Active License,"Contract Mining, Haulage services",,,2025,2,21
2025-02-14,MC 5397/2025,Freight Consult Ghana Limited,Support Service,Active License,"Haulage services, Provide complete logistics services which include customs clearing of goods, Provide complete logistics services which include customs clearing of explosives, Logistics and supply chain management services",Greater Accra Region,,2025,2,14
2025-02-10,MC 5396/2025,Gyeduba Limited,Support Service,Active License,"Weeding, grassing, reshaping, cutting or trimming of hedges, mowing and fencing services",Western Region,,2025,2,10
2025-02-07,MC 5395/2025,Buabee Unique Engineering Ltd,Support Service,Active License,Mining support Services,Ahafo Region,,2025,2,7
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Brong Ahafo Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Savannah Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Eastern Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Northern Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Western North Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Ahafo Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Bono Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Volta Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Western Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Oti Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Upper West Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Upper East Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Greater Accra Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Bono East Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Ashanti Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",North East Region,,2025,2,5
2025-02-05,MC 5394/2025,Amaja Oilfield Limited,Support Service,Active License,"Rentals, Progect management services, Construction of tailings, Mining Support Services, Supply Mining equipment, Fabrication and Istallation of plant, Engineering Service",Central Region,,2025,2,5
2025-01-24,MC 5374/2025,B4Hg Company Limited,Support Service,Active License,"Machine parts, Repair",Central Region,,2025,1,24
2025-01-24,MC 5375/2025,Mustre Geo Strike Ltd,Support Service,Active License,"Supply Explosive, Transportation of Explosives",Greater Accra Region,,2025,1,24
2025-01-23,GER 1/2025,Metals And Minerals Processing Ltd,Gold Export,Active License,Gold Refinery Services,Greater Accra Region,,2025,1,23
2025-01-22,MC 5362/2025,Majesty 7/12 Company Limited,Support Service,Active License,"Civil construction, Construction Services, Civil Engineering, Minor maintenance services including plumbing and electrical fittings, Electrical Services",Greater Accra Region,,2025,1,22
2025-01-21,MC 5361/2025,Zonda Sinotruk Assembly Plant,Support Service,Active License,"Supply machinery, Spare parts, Repair, After sales technical support, Machine parts, Provide associated spare parts, Mining support Services, Supply Mining equipment, Mine machinery, Supply lubricants",Ashanti Region,,2025,1,21
2025-01-21,MC 5361/2025,Zonda Sinotruk Assembly Plant,Support Service,Active License,"Supply machinery, Spare parts, Repair, After sales technical support, Machine parts, Provide associated spare parts, Mining support Services, Supply Mining equipment, Mine machinery, Supply lubricants",Greater Accra Region,,2025,1,21
2025-01-21,MC 5361/2025,Zonda Sinotruk Assembly Plant,Support Service,Active License,"Supply machinery, Spare parts, Repair, After sales technical support, Machine parts, Provide associated spare parts, Mining support Services, Supply Mining equipment, Mine machinery, Supply lubricants",Eastern Region,,2025,1,21
2025-01-21,MC 5361/2025,Zonda Sinotruk Assembly Plant,Support Service,Active License,"Supply machinery, Spare parts, Repair, After sales technical support, Machine parts, Provide associated spare parts, Mining support Services, Supply Mining equipment, Mine machinery, Supply lubricants",Western Region,,2025,1,21
2025-01-21,MC 5361/2025,Zonda Sinotruk Assembly Plant,Support Service,Active License,"Supply machinery, Spare parts, Repair, After sales technical support, Machine parts, Provide associated spare parts, Mining support Services, Supply Mining equipment, Mine machinery, Supply lubricants",Central Region,,2025,1,21
2025-01-20,MC 5360/2025,Ats Ghana Ltd,Support Service,Active License,"Housekeeping Services, Cleaning, painting and disinfection or fumigation services, Catering Services",,,2025,1,20
2025-01-19,ML5/199 (Akyem West),Newmont Golden Ridge Limited,Mining Lease,Active License,Gold,Eastern Region,Koforidua,2025,1,19
2025-01-17,MC 5359/2025,Richbay Chemical Solutions Ltd,Support Service,Active License,Manufacture and supply chemicals,Eastern Region,,2025,1,17
2025-01-16,MC 5358/2025,Toomahit Drill Limited,Support Service,Active License,"Drilling and exploration service, Provide civil earthworks, Contract drilling services",Greater Accra Region,,2025,1,16
