Start Date,License Code,Owner,Type,Status,Minerals,Regions
12/11/2025,SSML-T2 18/2025,Docklands Company Limited,Small Scale Licence (Tarkwa District),Active License,Gold,"Western Region
Nzema East District"
12/11/2025,SSML-T2 19/2025,Docklands Company Limited,Small Scale Licence (Tarkwa District),Active License,Gold,"Western Region
Sekondi Takoradi District"
12/11/2025,SSML-T2 21/2025,Docklands Company Limited,Small Scale Licence (Tarkwa District),Active License,Gold,"Western Region
Sekondi Takoradi District"
12/11/2025,SSML-T2 20/2025,Docklands Company Limited,Small Scale Licence (Tarkwa District),Active License,Gold,"Western Region
Sekondi Takoradi District"
12/11/2025,SSML-T2 17/2025,Docklands Company Limited,Small Scale Licence (Tarkwa District),Active License,Gold,"Western Region
Mpohor District"
03/10/2025,SSMP-NIM-3/1858,BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1856,Eknka Enterprise Limited,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1859,Eknka Enterprise Limited,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1857,BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1861,BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED,Small Scale  Licence (Assin Fosu District),Active License,Gold,"Central Region
Cape Coast District"
03/10/2025,SSMP-NIM-3/1860,Eknka Enterprise Limited,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1862,BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED,Small Scale  Licence (Assin Fosu District),Active License,Gold,"Central Region
Cape Coast District"
03/10/2025,SSMP-NIM-3/1855,Eknka Enterprise Limited,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1854,Eknka Enterprise Limited,Small Scale  Licence (Assin Fosu District),Active License,Gold,Central Region
03/10/2025,SSMP-NIM-3/1863,BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED,Small Scale  Licence (Assin Fosu District),Active License,Gold,"Central Region
Cape Coast District"
29/08/2025,RL2/103,Dpeps Company Limited,Prospecting Licence (Ghanaian),Active License,Gold,"Western Region
Sekondi Takoradi District"
14/08/2025,RL2/205 (Mpataba),Sec Southwest Mining Ltd,Prospecting Licence (Foreign),Active License,Gold,"Western Region
Jomoro District"
28/07/2025,SSML-AK5 2/2025,Shepherd Mining,Small Scale Licence (Akim Oda District),Active License,Gold,
21/07/2025,SSMP-NIM-3/1853,Jaypris Mining Enterprise,Small Scale  Licence (Assin Fosu District),Active License,Gold,"Central Region
Cape Coast District"
14/07/2025,MC 5548/2025,Abuya and Sons Company Limited,Support Service (Class A),Active License,"Civil works /engineering services
Rentals",Greater Accra Region
24/06/2025,MC 5551/2025,Grinding Media Ghana Limited,Support Service (Class A),Active License,"Supply Mining equipment
Mine Consumables (grinding media, activated carbon, caustic soda)
Manufacture and supply steel products including grinding media
Mining Support Services",
20/06/2025,MC 5558/2025,SDG DREAM LIMITED COMPANY,Support Service (Class A),Active License,"Drilling and exploration service
Civil works /engineering services
Civil construction",Western Region
03/06/2025,MC 5544/2025,ACT ICT GHANA LIMITED,Support Service (Class A),Active License,Technical Services,Greater Accra Region
22/05/2025,MC 5549/2025,Pesi Engineering Services International Ltd,Support Service (Class A),Active License,"Contract drilling services
Environmental Services
Aerial survey
Provide geotechnical and geophysical site investigation services","Bono East Region
Ashanti Region
Bono Region
Ahafo Region
Brong Ahafo Region"
21/05/2025,MC 5550/2025,Global Consolidated Mining Ltd,Support Service (Class A),Active License,"Equipment Supply
Civil works /engineering services
Supply mining consumables and provide mining optimization services",
25/02/2025,MC 5410/2025,Dwabrensua company limited,Support Service (Class B),Active License,Laundry Services,Ashanti Region
21/02/2025,MC 5398/2025,ASP CONSORTIUM LTD,Support Service (Class A),Active License,"Contract Mining
Haulage services",
